study_id,condition_name,mesh_term
1,COVID-19,Not Specified
2,COVID-19,Not Specified
3,COVID-19,Not Specified
4,COVID-19,Not Specified
5,MATERNAL FETAL INFECTION TRANSMISSION,Not Specified
5,COVID-19,Not Specified
5,COVID-19,Not Specified
6,COVID-19,Not Specified
7,COVID-19,Not Specified
7,EXCLUSIVE BREASTFEEDING,Not Specified
8,COVID-19,Not Specified
8,TYPE2 DIABETES,Not Specified
9,COVID-19,Not Specified
10,COVID-19,Not Specified
10,CANCER PATIENTS,Not Specified
10,GENERAL POPULATION,Not Specified
11,COVID-19,Not Specified
12,COVID-19,Not Specified
13,COVID-19,Not Specified
14,COVID-19,Not Specified
15,COVID-19,Not Specified
16,HEPATOCELLULAR CARCINOMA,Not Specified
16,COVID-19,Not Specified
17,COVID-19,Not Specified
17,COVID-19,Not Specified
18,IGG4 RELATED DISEASE,Not Specified
18,COVID-19,Not Specified
19,COVID-19,Not Specified
20,COVID-19,Not Specified
21,COVID-19,Not Specified
21,FEMUR FRACTURE,Not Specified
21,FRAGILITY FRACTURE,Not Specified
22,COVID-19,Not Specified
23,COVID-19,Not Specified
24,COVID-19,Not Specified
25,COVID-19,Not Specified
26,COGNITIVE IMPAIRMENT,Not Specified
26,COVID-19,Not Specified
26,COGNITIVE DYSFUNCTION,Not Specified
26,"DEPRESSION, ANXIETY",Not Specified
26,QUALITY OF LIFE,Not Specified
27,COVID-19,Not Specified
28,COVID-19,Not Specified
29,COVID-19,Not Specified
30,PREGNANCY,Not Specified
31,COVID-19,Not Specified
32,COVID-19,Not Specified
33,NEUROLOGICAL DISEASES OR CONDITIONS,Not Specified
33,"STROKE, ACUTE",Not Specified
33,SEIZURE DISORDER,Not Specified
34,COVID-19,Not Specified
35,COVID-19,Not Specified
36,COVID-19,Not Specified
36,"METABOLISM, INBORN ERRORS",Not Specified
37,COVID-19,Not Specified
38,COVID-19,Not Specified
39,COVID-19,Not Specified
40,COVID-19,Not Specified
41,COVID-19,Not Specified
42,COVID-19,Not Specified
43,COVID-19,Not Specified
44,COVID-19,Not Specified
45,COVID-19,Not Specified
46,COVID-19,Not Specified
47,COVID-19,Not Specified
48,COVID-19,Not Specified
49,COVID-19,Not Specified
50,COVID-19,Not Specified
51,COVID-19,Not Specified
51,COVID-19,Not Specified
52,COVID-19,Not Specified
53,COVID-19,Not Specified
54,COVID-19,Not Specified
54,COVID-19,Not Specified
55,COVID-19,Not Specified
56,COVID-19,Not Specified
57,COVID-19,Not Specified
58,COVID-19,Not Specified
59,COVID-19,Not Specified
60,COVID-19,Not Specified
61,COVID-19,Not Specified
62,COVID-19,Not Specified
63,COVID-19,Not Specified
63,CRITICAL ILLNESS,Not Specified
64,COVID-19,Not Specified
64,COVID-19,Not Specified
65,COVID-19,Not Specified
66,COVID-19,Not Specified
67,COVID-19,Not Specified
68,COVID-19,Not Specified
68,HYPERCOAGULABLE STATES NEC,Not Specified
69,COVID-19,Not Specified
69,COVID-19,Not Specified
70,CHARACTERISTICS DISEASES,Not Specified
70,"OUTCOME, FATAL",Not Specified
71,COVID-19,Not Specified
72,COVID-19,Not Specified
72,COVID-19,Not Specified
72,COVID-19,Not Specified
72,COMPLICATIONS,Not Specified
73,COVID-19,Not Specified
74,COVID-19,Not Specified
75,COVID-19,Not Specified
