study_id,intervention_type,name,description
1,Diagnostic Test,ID Now™ COVID-19 Screening Test,Not Specified
2,Drug,Drug COVID19-0001-USR,Not Specified
2,Drug,normal saline,Not Specified
3,Other,Lung CT scan analysis in COVID-19 patients,Not Specified
4,Diagnostic Test,COVID 19 Diagnostic Test,Not Specified
5,Diagnostic Test,"Diagnosis of SARS-Cov2 by RT-PCR and : IgG, Ig M serologies in the amniotoc fluid, the blood cord and the placenta",Not Specified
6,Biological,Convalescent COVID 19 Plasma,Not Specified
7,Behavioral,COVID-19 Breastfeeding Support,Not Specified
9,Diagnostic Test,Breath biopsy sampling using the ReCIVA Breath Sampler,Not Specified
10,Biological,Convalescent Plasma from COVID-19 donors,Not Specified
11,Biological,Convalescent COVID 19 Plasma,Not Specified
12,Other,Relation between frailty and clinical outcomes in elderly patients with COVID-19.,Not Specified
13,Other,COVID-19 exposure,Not Specified
13,Biological,COVID-19 vaccine,Not Specified
14,Other,Investigation of smell and taste disorders,Not Specified
15,Diagnostic Test,vaccination against COVID19,Not Specified
16,Diagnostic Test,nasopharyngeal Covid 19 RT-PCR,Not Specified
17,Diagnostic Test,RT-qPCR test,Not Specified
17,Diagnostic Test,COVID-VIRO® test,Not Specified
18,Other,exposure to COVID19,Not Specified
19,Other,Interview,Not Specified
20,Diagnostic Test,Covid-19 swab PCR test,Not Specified
21,Other,COVID-19,Not Specified
22,Biological,Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC),Not Specified
22,Drug,COVID-19 standard care,Not Specified
23,Biological,Two COVID-19 vaccine candidate (TMV-083) administrations - Low dose,Not Specified
23,Biological,Two COVID-19 vaccine candidate (TMV-083) administrations - High dose,Not Specified
23,Biological,One COVID-19 vaccine candidate (TMV-083) administration - High dose,Not Specified
23,Other,Placebo,Not Specified
24,Genetic,Massive parallel sequencing of host genome,Not Specified
25,Biological,covid-19 vaccine,Not Specified
26,Device,The use of the MentalPlus® digital game for assessment and rehabilitation of cognitive function after remission of the symptoms of COVID-19,Not Specified
27,Other,Predictive factors for clinical response in patients with COVID-19.,Not Specified
28,Other,COVID-19 PCR and serology testing,Not Specified
29,Biological,"Reporting of anosmia, ageusia and other clinical symptoms",Not Specified
30,Diagnostic Test,COVID 19 diagnostic test by PCR,Not Specified
31,Device,performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection,Not Specified
32,Other,observational,Not Specified
