study_id,country
1,France
2,Colombia
3,Italy
4,Hong Kong
5,France
6,Vietnam
7,United States
8,India
9,Israel
10,Chile
11,United States
12,Italy
13,United States
14,Italy
15,Israel
16,France
17,France
18,Hong Kong
19,Italy
20,United Kingdom
21,Italy
22,United Arab Emirates
23,Belgium
24,Italy
25,Norway
26,Brazil
27,Italy
28,United States
29,France
30,France
31,Bangladesh
32,France
33,Denmark
34,Israel
35,Italy
36,Unknown
37,Brazil
38,United States
39,France
40,Spain
41,United States
42,Switzerland
43,France
44,Brazil
45,Spain
46,Unknown
47,Finland
48,Poland
49,Egypt
50,Denmark
51,Denmark
52,United Kingdom
53,United States
54,Turkey
55,Indonesia
56,Canada
57,Unknown
58,Israel
59,Belgium
60,Pakistan
61,Turkey
62,United States
63,Sweden
64,United States
65,Turkey
66,Spain
67,Hungary
68,India
69,Unknown
70,Turkey
71,Poland
72,Albania
73,Sudan
74,United States
75,Bahrain
76,Switzerland
77,Italy
78,Canada
79,Unknown
80,United States
81,Italy
82,United States
83,Chile
84,United States
85,United States
86,United States
87,Nigeria
88,France
89,United States
90,France
91,United Kingdom
92,Slovenia
93,Islamic Republic of
94,United States
95,France
96,France
97,United States
98,United States
99,United States
100,United States
101,Bangladesh
102,France
103,Portugal
104,United States
105,Italy
106,Turkey
107,Unknown
108,Colombia
109,Spain
110,Italy
111,Unknown
112,France
113,Spain
114,France
115,Italy
116,Colombia
117,Republic of
118,Turkey
119,United Kingdom
120,France
121,United States
122,Italy
123,Israel
124,Germany
125,Brazil
126,Thailand
127,France
128,Unknown
129,Japan
130,France
131,United States
132,Turkey
133,Argentina
134,Canada
135,Denmark
136,Spain
137,Egypt
138,Unknown
139,Switzerland
140,Vietnam
141,France
142,United States
143,United States
144,Turkey
145,Pakistan
146,France
147,France
148,Spain
149,Spain
150,France
151,Spain
152,United States
153,France
154,Canada
155,Italy
156,Egypt
157,Unknown
158,United States
159,France
160,Spain
161,France
162,Sweden
163,United States
164,Hong Kong
165,Chile
166,United States
167,Canada
168,France
169,France
170,Pakistan
171,Egypt
172,Italy
173,India
174,France
175,Egypt
176,United States
177,Unknown
178,Unknown
179,Unknown
180,Spain
181,France
182,Egypt
183,Egypt
184,Canada
185,Unknown
186,China
187,Belgium
188,France
189,Unknown
190,United States
191,Italy
192,China
193,Mexico
194,Canada
195,United States
196,Spain
197,Italy
198,Singapore
199,Unknown
200,Brazil
201,United States
202,France
203,Belgium
204,Costa Rica
205,United States
