study_id,outcome_type,measure,time_frame,description
1,Not Specified,Evaluate the diagnostic performance of the id now ™ covid 19 test carried out by nurses in an emergency department in comparison with the reference pcr test: simplexa ™ covid 19 direct,Not specified,Detailed in measure
2,Not Specified,Change on viral load results after using covid19 0001 usr via nebulization,From baseline,Detailed in measure
3,Not Specified,A qualitative analysis of parenchymal lung damage induced by covid 19,Not specified,Detailed in measure
3,Not Specified,A quantitative analysis of parenchymal lung damage induced by covid 19,Not specified,Detailed in measure
3,Not Specified,The potential impact of parenchymal morphological ct scans in patients with severe moderate respiratory failure,Not specified,Detailed in measure
3,Not Specified,Automated segmentation of lung scans of patients with covid 19 and ards,Not specified,Detailed in measure
3,Not Specified,Knowledge of chest ct features in covid 19 patients and their detail through the use of machine learning and other quantitative techniques,Not specified,Detailed in measure
3,Not Specified,The ability within which the analysis of artificial intelligence that uses deep learning models can be used to predict clinical outcomes,Not specified,Detailed in measure
4,Not Specified,Proportion of asymptomatic subjects,Not specified,Detailed in measure
4,Not Specified,Proportion of subjects with recent contact history,Not specified,Detailed in measure
4,Not Specified,Proportion of subjects with recent travel history,Not specified,Detailed in measure
5,Not Specified,Covid 19 by positive pcr in cord blood and / or positive serologies,Not specified,Detailed in measure
5,Not Specified,Covid 19 by positive pcr in amniotic fluid and placenta,Not specified,Detailed in measure
5,Not Specified,New born infected by covid 19,Not specified,Detailed in measure
6,Not Specified,Evaluate the safety,Not specified,Detailed in measure
6,Not Specified,Change in requirement for mechanical ventilatory support,Not specified,Detailed in measure
7,Not Specified,Covid 19 breastfeeding guidance adherence,At birth,Detailed in measure
7,Not Specified,Covid 19 breastfeeding guidance adherence postpartum,1 month,Detailed in measure
7,Not Specified,Covid 19 breastfeeding guidance adherence postpartum,3 months,Detailed in measure
7,Not Specified,Exclusive breastfeeding,At birth,Detailed in measure
7,Not Specified,Exclusive breastfeeding,1 month,Detailed in measure
7,Not Specified,Exclusive breastfeeding,3 months,Detailed in measure
7,Not Specified,Covid_status,Not specified,Detailed in measure
7,Not Specified,Covid 19 immunoglobulin g,Not specified,Detailed in measure
7,Not Specified,Covid 19 immunoglobulin m,Not specified,Detailed in measure
8,Not Specified,Severity of covid 19 among people with and without diabetes,Not specified,Detailed in measure
8,Not Specified,Number of patients who were in icu,Not specified,Detailed in measure
8,Not Specified,Number of patients who had tracheal intubation,Not specified,Detailed in measure
8,Not Specified,Number of patients who had respiratory complication,Not specified,Detailed in measure
8,Not Specified,Number of death,Not specified,Detailed in measure
8,Not Specified,"Correlation of bmi with complications, tracheal intubation and mortality",Not specified,Detailed in measure
8,Not Specified,Length of hospital stay,Not specified,Detailed in measure
9,Not Specified,Correlation between volatile organic compounds pattern and covid 19 detection status,Not specified,Detailed in measure
9,Not Specified,Correlation between volatile organic compounds pattern and time from covid 19 detection,Not specified,Detailed in measure
9,Not Specified,Correlation between the set of volatile organic compounds found in breath biopsy and disease intensity,Not specified,Detailed in measure
10,Not Specified,In hospital mortality secondary to covid 19 among patients treated with convalescent plasma,Not specified,Detailed in measure
10,Not Specified,Safety of the use of convalescent plasma drom covid 19 donors,Not specified,Detailed in measure
10,Not Specified,Mortality,"30 days, 90 days, 6 months, and 1 year",Detailed in measure
10,Not Specified,In hospital mortality covid 19 related compared with non treated population according to chilean official reports,Not specified,Detailed in measure
10,Not Specified,Number of days of hospitalization in high complexity facilities after convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Number of days of hospitalization in intensive care unit after convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Number of days of mechanical ventilatory support in patients after convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Total number of days of mechanical ventilatory support,Not specified,Detailed in measure
10,Not Specified,Total number of hospitalization days in patients treated with convalescent plasma,Not specified,Detailed in measure
10,Not Specified,Number of hospitalization days in patients after treatment with convalescent plasma,Not specified,Detailed in measure
10,Not Specified,Viral load measuring,Not specified,Detailed in measure
10,Not Specified,"Immunological response in treated patients (covid19 immunoglobulin m and immunoglobulin g, neutralizing antibodies)",Not specified,Detailed in measure
10,Not Specified,Negativization of covid 19 load since convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Negativization of covid 19 load since hospitalization,Not specified,Detailed in measure
10,Not Specified,Negativization of covid 19 load since first reported symptoms covid 19 related,Not specified,Detailed in measure
10,Not Specified,Donor interferon gamma profile characterization,Not specified,Detailed in measure
10,Not Specified,Donor granulocyte macrophage colony stimulating factor characterization,Not specified,Detailed in measure
10,Not Specified,Donor tumor necrosis factor alfa characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 1 beta characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 2 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 4 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 6 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 8 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 10 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interferon gamma profile characterization,Not specified,Detailed in measure
10,Not Specified,Receptor granulocyte macrophage colony stimulating factor characterization,Not specified,Detailed in measure
10,Not Specified,Receptor tumor necrosis factor alfa characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 1 beta characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 2 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 4 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 6 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 8 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 10 characterization,Not specified,Detailed in measure
11,Not Specified,Reduce mortality,Not specified,Detailed in measure
11,Not Specified,Reduce requirement for mechanical ventilation,Not specified,Detailed in measure
11,Not Specified,Reduce the duration of mechanical ventilation,Not specified,Detailed in measure
11,Not Specified,Review of treatment related adverse events,Not specified,Detailed in measure
12,Not Specified,Development of a tool to measure frailty,Not specified,Detailed in measure
12,Not Specified,"A ""proxy"" variable of the fragility index can be built on the basis of regional administrative databases only",Not specified,Detailed in measure
12,Not Specified,Give elements to focus the screening policies for covid19,Not specified,Detailed in measure
12,Not Specified,Give the prevention of contagion at the elderly population level,Not specified,Detailed in measure
13,Not Specified,Maternal covid 19 serology (igg and igm),Not specified,Detailed in measure
13,Not Specified,Maternal/neonatal igg and igm concordance,Not specified,Detailed in measure
13,Not Specified,Maternal covid serology time/profile following vaccination,Not specified,Detailed in measure
13,Not Specified,Breastmilk serology,Not specified,Detailed in measure
13,Not Specified,Cytokine,Not specified,Detailed in measure
13,Not Specified,Neonatal cytokine,Not specified,Detailed in measure
13,Not Specified,Covid disease vs vaccination immune response,Not specified,Detailed in measure
13,Not Specified,Covid vaccine in pregnant vs nonpregnant,Not specified,Detailed in measure
14,Not Specified,Identification of demographic and clinical factors in covid19 patients,Not specified,Detailed in measure
14,Not Specified,Description of the disturbances of smell and taste,Not specified,Detailed in measure
14,Not Specified,Description of factors that influence smell and taste,Not specified,Detailed in measure
15,Not Specified,Association between breath vocs and igg in blood following second vaccination dose,Not specified,Detailed in measure
15,Not Specified,Association between vocs profile and participants' clinical or demographic characteristics,Not specified,Detailed in measure
16,Not Specified,Incidence of covid 19 infection in patients with hepatocellular carcinoma in france,Not specified,Detailed in measure
17,Not Specified,Evaluation of covid viro® diagnostic specificity,Not specified,Detailed in measure
17,Not Specified,Evaluation of covid viro® diagnostic sensitivity,Not specified,Detailed in measure
17,Not Specified,Evaluation of covid viro® diagnostic sensitivity for rt qpcr cycle threshold value < or > 28,Not specified,Detailed in measure
18,Not Specified,Incidence of covid 19 in igg4 patients with pancreatobiliary involvement,Not specified,Detailed in measure
18,Not Specified,Incidence of severe covid 19 in igg4 patients with pancreatobiliary involvement,Not specified,Detailed in measure
18,Not Specified,Medications for the underlying igg4 disease used when patient was diagnosed to have covid 19,Not specified,Detailed in measure
18,Not Specified,Risk factors associated with covid 19 infection in igg4 patients with pancreatobiliary involvement,Not specified,Detailed in measure
