study_id,agency,agency_class,lead_or_collaborator
1,Groupe Hospitalier Paris Saint Joseph,Other,Lead
2,United Medical Specialties,Other,Lead
3,University of Milano Bicocca,Other,Lead
4,Hong Kong Sanatorium & Hospital,Industry,Lead
5,Centre Hospitalier Régional d'Orléans,Other,Lead
5,Centre de Biophysique Moléculaire - Pr Chantal Pichon,Other,Collaborator
5,Professeur TOUMI Hechmi,Other,Collaborator
6,Vinmec Research Institute of Stem Cell and Gene Technology,Other,Lead
6,"National Institute of Hygiene and Epidemiology, Vietnam",Other,Collaborator
6,"National Hospital for Tropical Diseases, Hanoi, Vietnam",Other,Collaborator
6,"National Institute of Hematology and Blood Transfusion, Vietnam",Other,Collaborator
7,Meharry Medical College,Other,Lead
8,India Diabetes Research Foundation & Dr. A. Ramachandran's Diabetes Hospitals,Other,Lead
9,Scentech Medical Technologies Ltd,Industry,Lead
10,Fundacion Arturo Lopez Perez,Other,Lead
10,Confederación de la Producción y del Comercio (CPC),Other,Collaborator
10,Bolsa de Santiago,Other,Collaborator
11,The Christ Hospital,Other,Lead
12,University of Milano Bicocca,Other,Lead
13,Thomas Jefferson University,Other,Lead
13,Nemours,Other,Collaborator
14,University of Milano Bicocca,Other,Lead
15,Scentech Medical Technologies Ltd,Industry,Lead
16,"Centre Hospitalier Universitaire, Amiens",Other,Lead
16,Centre Hospitalier-Universitaire Bondy,Other,Collaborator
16,"University Hospital, Bordeaux",Other,Collaborator
16,Centre Hospitalier-Universitaire CLICHY,Other,Collaborator
16,Centre Hospitalier Général CORBEIL-ESSONNE,Other,Collaborator
16,CHU CRETEIL,Other,Collaborator
16,"University Hospital, Grenoble",Other,Collaborator
16,"University Hospital, Lille",Other,Collaborator
16,CHU LYON,Other,Collaborator
16,Poitiers University Hospital,Other,Collaborator
16,Rennes University Hospital,Other,Collaborator
16,"University Hospital, Rouen",Other,Collaborator
16,"University Hospital, Toulouse",Other,Collaborator
16,CHU VILLEJUIF,Other,Collaborator
16,"Central Hospital, Nancy, France",Other,Collaborator
16,Centre Hospitalier Universitaire de Nice,Other,Collaborator
16,"University Hospital, Montpellier",Other,Collaborator
17,Centre Hospitalier Régional d'Orléans,Other,Lead
18,Chinese University of Hong Kong,Other,Lead
19,Fondazione Don Carlo Gnocchi Onlus,Other,Lead
20,King's College London,Other,Lead
20,Zoe Global Limited,Other,Collaborator
20,"Department of Health, United Kingdom",Other,Collaborator
21,Istituto Ortopedico Galeazzi,Other,Lead
22,Abu Dhabi Stem Cells Center,Other,Lead
23,Institut Pasteur,Industry,Lead
23,Themis Bioscience GmbH,Other,Collaborator
23,Coalition for Epidemic Preparedness Innovations,Other,Collaborator
24,University of Siena,Other,Lead
24,Policlinico San Matteo Pavia Fondazione IRCCS,Other,Collaborator
24,"Ospedale San Donato, Arezzo",Other,Collaborator
24,Ospedale della Misericordia,Other,Collaborator
24,Azienda Ospedaliera Ospedale Maggiore di Crema,Other,Collaborator
24,University of Modena and Reggio Emilia,Other,Collaborator
24,ASST Fatebenefratelli Sacco,Other,Collaborator
24,Azienda Ospedaliera di Perugia,Other,Collaborator
24,"Ospedale dell'Angelo, Venezia-Mestre",Other,Collaborator
24,Azienda Ulss 2 Marca Trevigiana,Other,Collaborator
24,Cardarelli Hospital,Other,Collaborator
24,Azienda Ospedaliera dei Colli,Other,Collaborator
24,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",Other,Collaborator
24,Istituto Giannina Gaslini,Other,Collaborator
24,Istituti Ospitalieri di Cremona,Other,Collaborator
24,"IRCSS Lazzaro Spallanzani, Roma",Other,Collaborator
24,ASST Santi Paolo e Carlo,Other,Collaborator
24,ASST Valtellina e Alto Lario,Other,Collaborator
24,Azienda USL Toscana Sud Est,Other,Collaborator
24,"ULSS1 Dolomiti, Belluno",Other,Collaborator
24,"ASST Spedali Civili, Brescia",Other,Collaborator
24,"IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo",Other,Collaborator
24,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Other,Collaborator
24,"Ospedale Luigi Curto, Polla",Other,Collaborator
24,Istituto Auxologico Italiano,Other,Collaborator
24,"CEINGE Biotecnologie Avanzate, Napoli",Other,Collaborator
25,University of Bergen,Other,Lead
25,Haukeland University Hospital,Other,Collaborator
26,University of Sao Paulo,Other,Lead
27,University of Milano Bicocca,Other,Lead
