study_id,nct_id,title,status,phase,study_type,start_date,completion_date,primary_completion_date,enrollment,gender
1,NCT04785898,Diagnostic Performance of the ID Now™ COVID-19 Screening Test Versus Simplexa™ COVID-19 Direct Assay,"Active, not recruiting",,Interventional,2020-11-09,2021-04-30,2020-12-22,1000,All
2,NCT04595136,Study to Evaluate the Efficacy of COVID19-0001-USR in Patients With Mild/or Moderate COVID-19 Infection in Outpatient,Not yet recruiting,Phase 1|Phase 2,Interventional,2020-11-02,2021-01-29,2020-12-15,60,All
3,NCT04395482,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury,Recruiting,,Observational,2020-05-07,2021-06-15,2021-06-15,500,All
4,NCT04416061,The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic,"Active, not recruiting",,Observational,2020-05-25,2020-08-31,2020-07-31,2500,All
5,NCT04395924,Maternal-foetal Transmission of SARS-Cov-2,Recruiting,,Observational,2020-05-05,2021-05-01,2021-05-01,50,Female
6,NCT04516954,Convalescent Plasma for COVID-19 Patients,Enrolling by invitation,Early Phase 1,Interventional,2020-08-01,2020-12-30,2020-11-30,10,All
7,NCT04476940,COVID-19 Breastfeeding Guideline for African-Americans,Not yet recruiting,,Interventional,2020-09-01,2022-06-01,2021-10-01,200,Female
8,NCT04634214,The Severity of COVID 19 in Diabetes and Non-diabetes Patients,Not yet recruiting,,Observational,2020-11-16,2021-05-16,2021-02-16,1050,All
9,NCT04602884,Early Detection of COVID-19 Using Breath Analysis,Suspended,,Interventional,2020-09-22,2021-12-30,2021-12-30,50,All
10,NCT04384588,COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID),Recruiting,Phase 2|Phase 3,Interventional,2020-04-07,2021-04-06,2021-04-06,100,All
11,NCT04355897,CoVID-19 Plasma in Treatment of COVID-19 Patients,Recruiting,Early Phase 1,Interventional,2020-04-28,2020-08-01,2020-07-01,100,All
